OBJECTID,FIPS,NAME,COUNTY,HSR,MAP_SYMBOL,CTYREG_EST,STATE_AVG,POPOVER18,HSR_SYMBOL,DELMCC,MCONFINT
732,08101001900,"Census Tract 19, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1076,Middle Quintile,14.9,95% C.I.: 14.2 - 15.8
733,08101002400,"Census Tract 24, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1451,Highest Quintile,17.4,95% C.I.: 16.4 - 18.4
734,08101001400,"Census Tract 14, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),956,Highest Quintile,17.3,95% C.I.: 16.4 - 18.2
735,08101001700,"Census Tract 17, Pueblo County, Colorado",Pueblo,7,Middle Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3458,Lowest Quintile,12.6,95% C.I.: 11.9 - 13.4
736,08101000905,"Census Tract 9.05, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1591,Middle Quintile,14.8,95% C.I.: 14 - 15.6
737,08101003104,"Census Tract 31.04, Pueblo County, Colorado",Pueblo,7,Middle Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1843,Second Quintile,13.2,95% C.I.: 12.5 - 13.9
738,08101002300,"Census Tract 23, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2618,Fourth Quintile,15.6,95% C.I.: 14.7 - 16.7
739,08101002200,"Census Tract 22, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1051,Fourth Quintile,16,95% C.I.: 15.1 - 17
740,08101002100,"Census Tract 21, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1282,Highest Quintile,18.4,95% C.I.: 17.3 - 19.5
741,08101002802,"Census Tract 28.02, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3020,Middle Quintile,14.6,95% C.I.: 13.8 - 15.4
742,08101000200,"Census Tract 2, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1487,Highest Quintile,18.3,95% C.I.: 17.3 - 19.3
743,08101002906,"Census Tract 29.06, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3245,Second Quintile,13.6,95% C.I.: 13 - 14.3
744,08101002700,"Census Tract 27, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4057,Middle Quintile,15,95% C.I.: 14.2 - 15.8
745,08101001600,"Census Tract 16, Pueblo County, Colorado",Pueblo,7,Middle Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1490,Lowest Quintile,12.8,95% C.I.: 12.1 - 13.5
746,08101002903,"Census Tract 29.03, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4857,Fourth Quintile,15.8,95% C.I.: 15 - 16.8
747,08101000500,"Census Tract 5, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1836,Second Quintile,14.3,95% C.I.: 13.6 - 15.1
748,08101000800,"Census Tract 8, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2328,Fourth Quintile,16.4,95% C.I.: 15.5 - 17.3
749,08101002901,"Census Tract 29.01, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2232,Highest Quintile,18.4,95% C.I.: 17.5 - 19.6
750,08101002500,"Census Tract 25, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2359,Fourth Quintile,15.8,95% C.I.: 15 - 16.8
751,08101003103,"Census Tract 31.03, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1487,Second Quintile,13.6,95% C.I.: 12.9 - 14.5
752,08101003001,"Census Tract 30.01, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),803,Second Quintile,14.3,95% C.I.: 13.7 - 15.1
