OBJECTID,FIPS,NAME,COUNTY,HSR,POPOVER18,MAP_SYMBOL,CTYREG_EST,STATE_AVG,HSR_SYMBOL,MNTLD,MCONFINT
781,08035014129,"Census Tract 141.29, Douglas County, Colorado",Douglas,3,2571,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,7.6,95% C.I.: 7.2 - 8
782,08035014134,"Census Tract 141.34, Douglas County, Colorado",Douglas,3,4151,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,7.8,95% C.I.: 7.5 - 8.2
783,08035014136,"Census Tract 141.36, Douglas County, Colorado",Douglas,3,5885,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.6,95% C.I.: 8.3 - 9.1
784,08035014138,"Census Tract 141.38, Douglas County, Colorado",Douglas,3,3024,Middle Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9.5,95% C.I.: 9 - 9.9
785,08035014139,"Census Tract 141.39, Douglas County, Colorado",Douglas,3,3063,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,7.4,95% C.I.: 7.1 - 7.9
786,08035014126,"Census Tract 141.26, Douglas County, Colorado",Douglas,3,1491,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.4,95% C.I.: 8 - 8.9
787,08035014203,"Census Tract 142.03, Douglas County, Colorado",Douglas,3,5082,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,7.7,95% C.I.: 7.3 - 8.1
788,08035014406,"Census Tract 144.06, Douglas County, Colorado",Douglas,3,6419,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,8.7,95% C.I.: 8.4 - 9.2
789,08035014133,"Census Tract 141.33, Douglas County, Colorado",Douglas,3,4689,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,7.8,95% C.I.: 7.5 - 8.2
790,08035014204,"Census Tract 142.04, Douglas County, Colorado",Douglas,3,2175,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.5,95% C.I.: 8.1 - 8.9
791,08035014135,"Census Tract 141.35, Douglas County, Colorado",Douglas,3,2167,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,7.1,95% C.I.: 6.8 - 7.4
792,08035014131,"Census Tract 141.31, Douglas County, Colorado",Douglas,3,3142,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,7.1,95% C.I.: 6.8 - 7.5
793,08035014137,"Census Tract 141.37, Douglas County, Colorado",Douglas,3,6188,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,7.7,95% C.I.: 7.3 - 8.1
794,08035014127,"Census Tract 141.27, Douglas County, Colorado",Douglas,3,3630,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,7.1,95% C.I.: 6.7 - 7.5
795,08035014125,"Census Tract 141.25, Douglas County, Colorado",Douglas,3,2512,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,7.6,95% C.I.: 7.3 - 7.9
796,08035014005,"Census Tract 140.05, Douglas County, Colorado",Douglas,3,3327,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.7,95% C.I.: 8.3 - 9.1
797,08035014007,"Census Tract 140.07, Douglas County, Colorado",Douglas,3,2351,Highest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,11.1,95% C.I.: 10.6 - 11.7
798,08035014011,"Census Tract 140.11, Douglas County, Colorado",Douglas,3,1681,Middle Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9.2,95% C.I.: 8.7 - 9.7
799,08035014506,"Census Tract 145.06, Douglas County, Colorado",Douglas,3,2834,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,7.9,95% C.I.: 7.5 - 8.2
800,08035014604,"Census Tract 146.04, Douglas County, Colorado",Douglas,3,2635,Middle Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9.1,95% C.I.: 8.7 - 9.5
