OBJECTID,FIPS,NAME,COUNTY,HSR,PHYSH,POPOVER18,MAP_SYMBOL,CTYREG_EST,STATE_AVG,HSR_SYMBOL,MCONFINT
42,08037000503,"Census Tract 5.03, Eagle County, Colorado",Eagle,12,6.6,4730,Lowest Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 5.9 - 7.6
43,08037000100,"Census Tract 1, Eagle County, Colorado",Eagle,12,6.8,966,Lowest Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 6.1 - 7.9
44,08037000600,"Census Tract 6, Eagle County, Colorado",Eagle,12,7.6,1234,Second Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 6.8 - 8.9
45,08037000200,"Census Tract 2, Eagle County, Colorado",Eagle,12,6.3,5280,Lowest Quintile,County/Regional Estimate 6.8% (95% C.I.: 4.4 - 9.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 5.6 - 7.2
46,08045951901,"Census Tract 9519.01, Garfield County, Colorado",Garfield,12,7.8,3245,Second Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 7 - 8.7
47,08045951701,"Census Tract 9517.01, Garfield County, Colorado",Garfield,12,7.2,2944,Lowest Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 6.4 - 8.4
48,08045951902,"Census Tract 9519.02, Garfield County, Colorado",Garfield,12,8.5,4757,Middle Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 7.6 - 9.5
49,08045951702,"Census Tract 9517.02, Garfield County, Colorado",Garfield,12,7,3061,Lowest Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 6.3 - 7.9
50,08045952001,"Census Tract 9520.01, Garfield County, Colorado",Garfield,12,7.6,3552,Second Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 6.8 - 8.6
51,08045952002,"Census Tract 9520.02, Garfield County, Colorado",Garfield,12,6.2,5768,Lowest Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 5.6 - 7
52,08045951803,"Census Tract 9518.03, Garfield County, Colorado",Garfield,12,6.5,4841,Lowest Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 5.9 - 7.3
53,08045951804,"Census Tract 9518.04, Garfield County, Colorado",Garfield,12,8.3,3298,Second Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 7.5 - 9.2
54,08045951802,"Census Tract 9518.02, Garfield County, Colorado",Garfield,12,7.9,2903,Second Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 7.2 - 8.9
55,08045952100,"Census Tract 9521, Garfield County, Colorado",Garfield,12,7.7,4673,Second Quintile,County/Regional Estimate 7.5% (95% C.I.: 5.2 - 9.9),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 7 - 8.7
56,08067970704,"Census Tract 9707.04, La Plata County, Colorado",La Plata,9,10.2,3182,Fourth Quintile,County/Regional Estimate 8.4% (95% C.I.: 6.1 - 10.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 9.2 - 11.2
57,08067970703,"Census Tract 9707.03, La Plata County, Colorado",La Plata,9,8.9,4142,Middle Quintile,County/Regional Estimate 8.4% (95% C.I.: 6.1 - 10.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 8.1 - 10
58,08067970701,"Census Tract 9707.01, La Plata County, Colorado",La Plata,9,9,3722,Middle Quintile,County/Regional Estimate 8.4% (95% C.I.: 6.1 - 10.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 8.1 - 10.1
59,08067940300,"Census Tract 9403, La Plata County, Colorado",La Plata,9,10.6,4784,Fourth Quintile,County/Regional Estimate 8.4% (95% C.I.: 6.1 - 10.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 9.3 - 12.4
60,08097000500,"Census Tract 5, Pitkin County, Colorado",Pitkin,12,6,1648,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 2.6 - 13.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 4.8 - 7.9
61,08097000401,"Census Tract 4.01, Pitkin County, Colorado",Pitkin,12,6.4,3913,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 2.6 - 13.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 5.1 - 8.3
62,08097000402,"Census Tract 4.02, Pitkin County, Colorado",Pitkin,12,7.7,2459,Second Quintile,County/Regional Estimate 8.2% (95% C.I.: 2.6 - 13.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 6 - 9.9
63,08097000100,"Census Tract 1, Pitkin County, Colorado",Pitkin,12,6,6522,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 2.6 - 13.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 4.6 - 7.8
64,08117000402,"Census Tract 4.02, Summit County, Colorado",Summit,12,6,4011,Lowest Quintile,County/Regional Estimate 4.9% (95% C.I.: 2.2 - 7.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 5.3 - 7
65,08117000401,"Census Tract 4.01, Summit County, Colorado",Summit,12,5.2,3926,Lowest Quintile,County/Regional Estimate 4.9% (95% C.I.: 2.2 - 7.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 4.5 - 6.2
66,08117000100,"Census Tract 1, Summit County, Colorado",Summit,12,4.8,6856,Lowest Quintile,County/Regional Estimate 4.9% (95% C.I.: 2.2 - 7.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 4.1 - 6
67,08117000200,"Census Tract 2, Summit County, Colorado",Summit,12,4.8,6181,Lowest Quintile,County/Regional Estimate 4.9% (95% C.I.: 2.2 - 7.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 4.2 - 6
68,08117000300,"Census Tract 3, Summit County, Colorado",Summit,12,5.8,3082,Lowest Quintile,County/Regional Estimate 4.9% (95% C.I.: 2.2 - 7.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 5.1 - 6.8
69,08067971100,"Census Tract 9711, La Plata County, Colorado",La Plata,9,8.6,4099,Middle Quintile,County/Regional Estimate 8.4% (95% C.I.: 6.1 - 10.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 7.6 - 9.9
70,08067971000,"Census Tract 9710, La Plata County, Colorado",La Plata,9,8,2528,Second Quintile,County/Regional Estimate 8.4% (95% C.I.: 6.1 - 10.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 7.3 - 9
71,08067970900,"Census Tract 9709, La Plata County, Colorado",La Plata,9,8.6,3144,Middle Quintile,County/Regional Estimate 8.4% (95% C.I.: 6.1 - 10.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 7.7 - 9.9
72,08067970800,"Census Tract 9708, La Plata County, Colorado",La Plata,9,8.1,5764,Second Quintile,County/Regional Estimate 8.4% (95% C.I.: 6.1 - 10.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 7.2 - 9.1
73,08067940400,"Census Tract 9404, La Plata County, Colorado",La Plata,9,9.6,4426,Fourth Quintile,County/Regional Estimate 8.4% (95% C.I.: 6.1 - 10.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 8.6 - 10.8
74,08067970600,"Census Tract 9706, La Plata County, Colorado",La Plata,9,9.1,6943,Middle Quintile,County/Regional Estimate 8.4% (95% C.I.: 6.1 - 10.8),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Middle Quintile,95% C.I.: 8.3 - 10.1
75,08065961900,"Census Tract 9619, Lake County, Colorado",Lake,13,3.3,1735,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 3.7 - 13.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 2.5 - 5.9
76,08065961700,"Census Tract 9617, Lake County, Colorado",Lake,13,4.7,3995,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 3.7 - 13.2),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 3.7 - 7.5
77,08029965100,"Census Tract 9651, Delta County, Colorado",Delta,10,14.7,3340,Highest Quintile,County/Regional Estimate 15.5% (95% C.I.: 11.5 - 19.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 13.4 - 16.6
78,08029965200,"Census Tract 9652, Delta County, Colorado",Delta,10,14.3,3423,Highest Quintile,County/Regional Estimate 15.5% (95% C.I.: 11.5 - 19.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 13.2 - 15.7
79,08029964600,"Census Tract 9646, Delta County, Colorado",Delta,10,14.6,2819,Highest Quintile,County/Regional Estimate 15.5% (95% C.I.: 11.5 - 19.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 13.4 - 15.9
80,08029965000,"Census Tract 9650, Delta County, Colorado",Delta,10,15.8,3729,Highest Quintile,County/Regional Estimate 15.5% (95% C.I.: 11.5 - 19.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 14.5 - 17.3
81,08029964900,"Census Tract 9649, Delta County, Colorado",Delta,10,14.2,4179,Highest Quintile,County/Regional Estimate 15.5% (95% C.I.: 11.5 - 19.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 13 - 16.1
82,08029964800,"Census Tract 9648, Delta County, Colorado",Delta,10,17.1,3324,Highest Quintile,County/Regional Estimate 15.5% (95% C.I.: 11.5 - 19.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 15.6 - 19.2
83,08029964700,"Census Tract 9647, Delta County, Colorado",Delta,10,14.5,3068,Highest Quintile,County/Regional Estimate 15.5% (95% C.I.: 11.5 - 19.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 13.3 - 15.9
84,08003960300,"Census Tract 9603, Alamosa County, Colorado",Alamosa,8,9.9,3418,Fourth Quintile,County/Regional Estimate 12.3% (95% C.I.: 7 - 17.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 8.2 - 12.7
85,08003960200,"Census Tract 9602, Alamosa County, Colorado",Alamosa,8,10.6,5502,Fourth Quintile,County/Regional Estimate 12.3% (95% C.I.: 7 - 17.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 9.1 - 12.9
86,08113968102,"Census Tract 9681.02, San Miguel County, Colorado",San Miguel,10,6.1,1493,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 0 - 16.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 0 - 9.5
87,08113968101,"Census Tract 9681.01, San Miguel County, Colorado",San Miguel,10,7,1726,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 0 - 16.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 0 - 9.8
88,08113968103,"Census Tract 9681.03, San Miguel County, Colorado",San Miguel,10,6.9,1667,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 0 - 16.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 0 - 9.2
89,08113968200,"Census Tract 9682, San Miguel County, Colorado",San Miguel,10,7.1,1325,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 0 - 16.3),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 0 - 9.8
90,08079973600,"Census Tract 9736, Mineral County, Colorado",Mineral,8,9.4,674,Fourth Quintile,County/Regional Estimate 8.1% (95% C.I.: 1.1 - 15.1),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Lowest Quintile,95% C.I.: 6.8 - 17.3
91,08083941100,"Census Tract 9411, Montezuma County, Colorado",Montezuma,9,11.5,795,Highest Quintile,County/Regional Estimate 11.1% (95% C.I.: 7.8 - 14.5),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 9.5 - 14.7
92,08083969400,"Census Tract 9694, Montezuma County, Colorado",Montezuma,9,10.5,2992,Fourth Quintile,County/Regional Estimate 11.1% (95% C.I.: 7.8 - 14.5),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 9.4 - 12.7
93,08083969100,"Census Tract 9691, Montezuma County, Colorado",Montezuma,9,12.5,2796,Highest Quintile,County/Regional Estimate 11.1% (95% C.I.: 7.8 - 14.5),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 11.3 - 14.1
94,08083969200,"Census Tract 9692, Montezuma County, Colorado",Montezuma,9,13,2194,Highest Quintile,County/Regional Estimate 11.1% (95% C.I.: 7.8 - 14.5),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 11.8 - 14.5
95,08083969000,"Census Tract 9690, Montezuma County, Colorado",Montezuma,9,11.9,2717,Highest Quintile,County/Regional Estimate 11.1% (95% C.I.: 7.8 - 14.5),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 10.9 - 13.3
96,08083969600,"Census Tract 9696, Montezuma County, Colorado",Montezuma,9,11.7,3948,Highest Quintile,County/Regional Estimate 11.1% (95% C.I.: 7.8 - 14.5),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Fourth Quintile,95% C.I.: 10.6 - 13.4
97,08083969300,"Census Tract 9693, Montezuma County, Colorado",Montezuma,9,12,4434,Highest Quintile,County/Regional Estimate 11.1% (95% C.I.: 7.8 - 14.5),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 10.9 - 13.7
98,08003960000,"Census Tract 9600, Alamosa County, Colorado",Alamosa,8,12.2,1230,Highest Quintile,County/Regional Estimate 12.3% (95% C.I.: 7 - 17.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 10.5 - 14.7
99,08003960100,"Census Tract 9601, Alamosa County, Colorado",Alamosa,8,11.7,2057,Highest Quintile,County/Regional Estimate 12.3% (95% C.I.: 7 - 17.6),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Second Quintile,95% C.I.: 10 - 14
100,08091967600,"Census Tract 9676, Ouray County, Colorado",Ouray,10,16.5,3951,Highest Quintile,County/Regional Estimate 16.7% (95% C.I.: 2.4 - 31),State Estimate 9.3% (95% C.I.: 9.0 - 9.6),Highest Quintile,95% C.I.: 14.1 - 19.6
